day,background_percentage,fouling_percentage
1,100.0,0.0
2,99.9974,0.0026
3,99.9553,0.0447
4,99.8776,0.1224
5,99.8406,0.1594
6,99.8005,0.1995
7,99.6003,0.3997
8,99.4403,0.5597
9,99.4392,0.5608
10,99.1913,0.8087
11,99.1125,0.8875
12,99.0704,0.9296
13,98.9963,1.0037
14,98.8728,1.1272
15,98.7195,1.2805
16,98.5413,1.4587
17,98.356,1.644
18,98.3176,1.6824
19,98.0102,1.9898
20,97.788,2.212
21,97.4855,2.5145
22,97.4485,2.5515
23,97.1892,2.8108
24,97.0139,2.9861
25,96.7859,3.2141
26,96.6391,3.3609
27,96.4684,3.5316
28,96.1918,3.8082
29,96.1918,3.8082
30,96.1547,3.8453
31,95.8584,4.1416
32,95.5272,4.4728
33,95.2609,4.7391
34,95.0757,4.9243
35,94.6683,5.3317
36,94.4378,5.5622
37,94.2897,5.7103
38,94.2526,5.7474
39,94.0685,5.9315
40,94.0469,5.9531
41,93.8617,6.1383
42,93.6765,6.3235
43,93.3802,6.6198
44,93.0493,6.9507
45,93.0122,6.9878
46,92.9292,7.0708
47,92.5588,7.4412
48,92.4381,7.5619
49,92.1789,7.8211
50,92.0552,7.9448
51,92.0182,7.9818
52,91.7137,8.2863
53,91.5319,8.4681
54,91.2817,8.7183
55,91.1249,8.8751
56,90.9398,9.0602
57,90.7175,9.2825
58,90.5694,9.4306
59,90.3626,9.6374
60,90.019,9.981
