CNN Model,Input Type,Target Type,Trial,Day,Hour,F1 Score,TP,FP,FN,TN
cgnet,rois,binary,1,1,8am,0.0,1944000,0,0,0
cgnet,rois,binary,1,1,9am,0.0,1944000,0,0,0
cgnet,rois,binary,1,1,10am,0.0,1944000,0,0,0
cgnet,rois,binary,1,1,11am,0.0,1944000,0,0,0
cgnet,rois,binary,1,1,12pm,0.0,1944000,0,0,0
cgnet,rois,binary,1,1,1pm,0.0,1944000,0,0,0
cgnet,rois,binary,1,1,2pm,0.0,1944000,0,0,0
cgnet,rois,binary,1,1,3pm,0.0,1944000,0,0,0
cgnet,rois,binary,1,1,4pm,0.0,1944000,0,0,0
cgnet,rois,binary,1,1,5pm,0.0,1944000,0,0,0
cgnet,rois,binary,1,1,6pm,0.0,1944000,0,0,0
cgnet,rois,binary,1,1,7pm,0.0,1944000,0,0,0
cgnet,rois,binary,1,1,8pm,0.0,1944000,0,0,0
cgnet,rois,binary,1,2,8am,0.0,1943950,0,50,0
cgnet,rois,binary,1,2,9am,0.0,1943950,0,50,0
cgnet,rois,binary,1,2,10am,0.0,1943950,0,50,0
cgnet,rois,binary,1,2,11am,0.0,1943950,0,50,0
cgnet,rois,binary,1,2,12pm,0.0,1943950,0,50,0
cgnet,rois,binary,1,2,1pm,0.0,1943950,0,50,0
cgnet,rois,binary,1,2,2pm,0.0,1943950,0,50,0
cgnet,rois,binary,1,2,3pm,0.0,1943950,0,50,0
cgnet,rois,binary,1,2,4pm,0.0,1943950,0,50,0
cgnet,rois,binary,1,2,5pm,0.0,1943950,0,50,0
cgnet,rois,binary,1,2,6pm,0.0,1943950,0,50,0
cgnet,rois,binary,1,2,7pm,0.0,1943945,5,50,0
cgnet,rois,binary,1,2,8pm,0.0,1943950,0,50,0
cgnet,rois,binary,1,3,8am,0.878923773765564,1943125,6,183,686
cgnet,rois,binary,1,3,9am,0.8828025460243225,1943123,8,176,693
cgnet,rois,binary,1,3,10am,0.8905660510063171,1943118,13,161,708
cgnet,rois,binary,1,3,11am,0.8876262903213501,1943119,12,166,703
cgnet,rois,binary,1,3,12pm,0.8867805004119873,1943120,11,168,701
cgnet,rois,binary,1,3,1pm,0.8836618065834045,1943122,9,174,695
cgnet,rois,binary,1,3,2pm,0.8820905089378357,1943123,8,177,692
cgnet,rois,binary,1,3,3pm,0.8897243142127991,1943114,17,159,710
cgnet,rois,binary,1,3,4pm,0.877237856388092,1943122,9,183,686
cgnet,rois,binary,1,3,5pm,0.8730964660644531,1943112,19,181,688
cgnet,rois,binary,1,3,6pm,0.8870765566825867,1943113,18,162,707
cgnet,rois,binary,1,3,7pm,0.8869235515594482,1943119,12,167,702
cgnet,rois,binary,1,3,8pm,0.8871989846229553,1943122,9,169,700
cgnet,rois,binary,1,4,8am,0.9475771188735962,1941611,10,228,2151
cgnet,rois,binary,1,4,9am,0.9509997963905334,1941613,8,215,2164
cgnet,rois,binary,1,4,10am,0.9593073725700378,1941596,25,163,2216
cgnet,rois,binary,1,4,11am,0.954396665096283,1941604,17,192,2187
cgnet,rois,binary,1,4,12pm,0.9532138109207152,1941606,15,199,2180
cgnet,rois,binary,1,4,1pm,0.9567485451698304,1941600,21,178,2201
cgnet,rois,binary,1,4,2pm,0.9561060667037964,1941598,23,179,2200
cgnet,rois,binary,1,4,3pm,0.9603981971740724,1941598,23,160,2219
cgnet,rois,binary,1,4,4pm,0.9572018384933472,1941600,21,176,2203
cgnet,rois,binary,1,4,5pm,0.9595150351524352,1941597,24,163,2216
cgnet,rois,binary,1,4,6pm,0.9613474607467652,1941595,26,153,2226
cgnet,rois,binary,1,4,7pm,0.9628509879112244,1941599,22,150,2229
cgnet,rois,binary,1,4,8pm,0.959999978542328,1941595,26,159,2220
cgnet,rois,binary,1,5,8am,0.9581939578056335,1940885,16,234,2865
cgnet,rois,binary,1,5,9am,0.963566780090332,1940885,16,203,2896
cgnet,rois,binary,1,5,10am,0.9576384425163268,1940875,26,228,2871
cgnet,rois,binary,1,5,11am,0.9619158506393432,1940879,22,207,2892
cgnet,rois,binary,1,5,12pm,0.962618350982666,1940878,23,202,2897
cgnet,rois,binary,1,5,1pm,0.9629998207092284,1940875,26,197,2902
cgnet,rois,binary,1,5,2pm,0.9655970931053162,1940873,28,180,2919
cgnet,rois,binary,1,5,3pm,0.9602130651474,1940877,24,215,2884
cgnet,rois,binary,1,5,4pm,0.967603325843811,1940877,24,172,2927
cgnet,rois,binary,1,5,5pm,0.9630733728408812,1940869,32,191,2908
cgnet,rois,binary,1,5,6pm,0.9686157703399658,1940878,23,167,2932
cgnet,rois,binary,1,5,7pm,0.9647526144981384,1940872,29,184,2915
cgnet,rois,binary,1,5,8pm,0.969967007637024,1940879,22,160,2939
cgnet,rois,binary,1,6,8am,0.967947006225586,1940104,17,225,3654
