CNN Model,Input Type,Target Type,Trial,Day,Hour,Class 0 F1 Score,Class 1 F1 Score,Class 2 F1 Score,Class 3 F1 Score,Class 4 F1 Score,Class 5 F1 Score,Class 6 F1 Score
cgnet,rois,multiclass,1,1,8am,0.7631756663322449,0.5377734899520874,0.0,0.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,1,9am,0.7951143980026245,0.5679658651351929,0.0,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,1,10am,0.7945467829704285,0.5699312090873718,0.0,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,1,11am,0.7929742932319641,0.5687675476074219,0.0,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,1,12pm,0.8007553219795227,0.5765368342399597,0.0,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,1,1pm,0.7911196947097778,0.5662475824356079,0.0,1.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,1,2pm,0.7835285663604736,0.5590445399284363,0.0,0.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,1,3pm,0.7919315099716187,0.564135730266571,0.0,1.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,1,4pm,0.8014521598815918,0.5761280059814453,0.0,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,1,5pm,0.7817156910896301,0.5545616149902344,0.0,0.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,1,6pm,0.77532559633255,0.5507018566131592,0.0,0.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,1,7pm,0.7822453379631042,0.5549845099449158,0.0,1.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,1,8pm,0.7618794441223145,0.5391119718551636,0.0,1.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,2,8am,0.7764191627502441,0.5481613874435425,0.0,0.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,2,9am,0.8001980185508728,0.5724877715110779,0.0,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,2,10am,0.7967063188552856,0.5724959969520569,0.0,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,2,11am,0.7934115529060364,0.5688014626502991,0.0,0.0,0.0,0.0,1.0
cgnet,rois,multiclass,1,2,12pm,0.7953672409057617,0.5709196329116821,0.0,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,2,1pm,0.8055861592292786,0.5814443826675415,0.0,1.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,2,2pm,0.8068779706954956,0.5790238380432129,0.0,1.0,0.0,0.0,1.0
cgnet,rois,multiclass,1,2,3pm,0.7732970118522644,0.5478627681732178,0.0,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,2,4pm,0.803557813167572,0.5777357816696167,0.0016410256503149,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,2,5pm,0.7684803009033203,0.5393507480621338,0.0,0.0,1.0,0.0,1.0
cgnet,rois,multiclass,1,2,6pm,0.7616310715675354,0.5375654101371765,0.0,0.0,0.0,1.0,1.0
