CNN Model,Input Type,Target Type,Trial,Day,Hour,F1 Score,TP,FP,FN,TN
cgnet,rois,binary,1,1,8am,0.8783831596374512,1939255,55,974,3716
cgnet,rois,binary,1,1,9am,0.8943241834640503,1939276,34,869,3821
cgnet,rois,binary,1,1,10am,0.8907385468482971,1939269,41,891,3799
cgnet,rois,binary,1,1,11am,0.9054899215698242,1939275,35,781,3909
cgnet,rois,binary,1,1,12pm,0.8973641395568848,1939273,37,843,3847
cgnet,rois,binary,1,1,1pm,0.8757438659667969,1939277,33,1011,3679
cgnet,rois,binary,1,1,2pm,0.8765432238578796,1939268,42,998,3692
cgnet,rois,binary,1,1,3pm,0.8929117321968079,1939291,19,892,3798
cgnet,rois,binary,1,1,4pm,0.8984765410423279,1939264,46,827,3863
cgnet,rois,binary,1,1,5pm,0.9066016674041748,1939288,22,783,3907
cgnet,rois,binary,1,1,6pm,0.8952714800834656,1939269,41,856,3834
cgnet,rois,binary,1,1,7pm,0.8957969546318054,1939258,52,843,3847
cgnet,rois,binary,1,1,8pm,0.8822487592697144,1939268,42,955,3735
cgnet,rois,binary,1,2,8am,0.9676631093025208,1910208,536,1581,31675
cgnet,rois,binary,1,2,9am,0.9711591601371764,1910503,241,1637,31619
cgnet,rois,binary,1,2,10am,0.9709333777427672,1910632,112,1773,31483
cgnet,rois,binary,1,2,11am,0.972609281539917,1910561,183,1600,31656
cgnet,rois,binary,1,2,12pm,0.97111177444458,1910592,152,1724,31532
cgnet,rois,binary,1,2,1pm,0.9706156849861144,1910387,357,1562,31694
cgnet,rois,binary,1,2,2pm,0.971790850162506,1910266,478,1373,31883
cgnet,rois,binary,1,2,3pm,0.9701970815658568,1909930,814,1158,32098
cgnet,rois,binary,1,2,4pm,0.9731109142303468,1910393,351,1409,31847
cgnet,rois,binary,1,2,5pm,0.9665814638137816,1909845,899,1310,31946
cgnet,rois,binary,1,2,6pm,0.9705125689506532,1910187,557,1380,31876
cgnet,rois,binary,1,2,7pm,0.969584047794342,1910258,486,1506,31750
cgnet,rois,binary,1,2,8pm,0.9692258834838868,1910120,624,1399,31857
cgnet,rois,binary,1,3,8am,0.976963758468628,1887333,931,1621,54115
cgnet,rois,binary,1,3,9am,0.9815511703491212,1888106,158,1867,53869
cgnet,rois,binary,1,3,10am,0.979800581932068,1888140,124,2088,53648
cgnet,rois,binary,1,3,11am,0.9788426160812378,1888037,227,2092,53644
cgnet,rois,binary,1,3,12pm,0.9780275225639344,1888070,194,2211,53525
cgnet,rois,binary,1,3,1pm,0.9749847650527954,1887597,667,2086,53650
cgnet,rois,binary,1,3,2pm,0.9734471440315248,1887362,902,2028,53708
cgnet,rois,binary,1,3,3pm,0.9737284183502196,1886869,1395,1530,54206
cgnet,rois,binary,1,3,4pm,0.9748719930648804,1887436,828,1945,53791
cgnet,rois,binary,1,3,5pm,0.971249520778656,1886874,1390,1803,53933
cgnet,rois,binary,1,3,6pm,0.9758542776107788,1887206,1058,1620,54116
cgnet,rois,binary,1,3,7pm,0.9751309156417848,1887150,1114,1645,54091
cgnet,rois,binary,1,3,8pm,0.9737723469734192,1886854,1410,1511,54225
cgnet,rois,binary,1,4,8am,0.9808500409126282,1864703,964,2016,76317
cgnet,rois,binary,1,4,9am,0.9814093112945556,1864828,839,2051,76282
cgnet,rois,binary,1,4,10am,0.9830545783042908,1865143,524,2104,76229
cgnet,rois,binary,1,4,11am,0.9824013710021972,1865130,537,2191,76142
cgnet,rois,binary,1,4,12pm,0.981797993183136,1865126,541,2279,76054
cgnet,rois,binary,1,4,1pm,0.9797040224075316,1864748,919,2234,76099
cgnet,rois,binary,1,4,2pm,0.979845941066742,1864530,1137,2003,76330
cgnet,rois,binary,1,4,3pm,0.9783252477645874,1863797,1870,1533,76800
cgnet,rois,binary,1,4,4pm,0.9819480776786804,1864482,1185,1635,76698
cgnet,rois,binary,1,4,5pm,0.9787432551383972,1863983,1684,1647,76686
cgnet,rois,binary,1,4,6pm,0.9803736209869384,1864124,1543,1532,76801
cgnet,rois,binary,1,4,7pm,0.9831339120864868,1864718,949,1681,76652
cgnet,rois,binary,1,4,8pm,0.981876254081726,1864314,1353,1484,76849
cgnet,rois,binary,1,5,8am,0.9837839603424072,1844735,1073,2095,96097
cgnet,rois,binary,1,5,9am,0.9837191700935364,1844749,1059,2121,96071
cgnet,rois,binary,1,5,10am,0.9855409264564514,1844968,840,1983,96209
cgnet,rois,binary,1,5,11am,0.9838331937789916,1844563,1245,1919,96273
cgnet,rois,binary,1,5,12pm,0.9829018115997314,1844183,1625,1731,96461
cgnet,rois,binary,1,5,1pm,0.9826853275299072,1844558,1250,2135,96057
cgnet,rois,binary,1,5,2pm,0.9819740653038024,1844151,1657,1879,96313
cgnet,rois,binary,1,5,3pm,0.980432629585266,1843775,2033,1814,96378
cgnet,rois,binary,1,5,4pm,0.9836866855621338,1844227,1581,1622,96570
cgnet,rois,binary,1,5,5pm,0.9805386662483216,1843737,2071,1757,96435
cgnet,rois,binary,1,5,6pm,0.9823442697525024,1843795,2013,1464,96728
cgnet,rois,binary,1,5,7pm,0.9832875728607178,1844199,1609,1672,96520
cgnet,rois,binary,1,5,8pm,0.983262836933136,1844253,1555,1729,96463
cgnet,rois,binary,1,6,8am,0.982839822769165,1821776,1833,2291,118100
cgnet,rois,binary,1,6,9am,0.9843011498451232,1822269,1340,2423,117968
cgnet,rois,binary,1,6,10am,0.9866973757743835,1822923,686,2493,117898
cgnet,rois,binary,1,6,11am,0.9858487844467164,1822599,1010,2378,118013
cgnet,rois,binary,1,6,12pm,0.9846076965332032,1822422,1187,2499,117892
cgnet,rois,binary,1,6,1pm,0.9844150543212892,1822110,1499,2242,118149
cgnet,rois,binary,1,6,2pm,0.983752429485321,1821782,1827,2081,118310
cgnet,rois,binary,1,6,3pm,0.9826279878616332,1821660,1949,2229,118162
cgnet,rois,binary,1,6,4pm,0.9848135113716124,1821735,1874,1784,118607
cgnet,rois,binary,1,6,5pm,0.9835559725761414,1821735,1874,2082,118309
cgnet,rois,binary,1,6,6pm,0.9835277795791626,1821756,1853,2109,118282
cgnet,rois,binary,1,6,7pm,0.9834223389625548,1821693,1916,2073,118318
cgnet,rois,binary,1,6,8pm,0.982639491558075,1821639,1970,2206,118185
cgnet,rois,binary,1,7,8am,0.9820281863212584,1805707,2278,2605,133410
cgnet,rois,binary,1,7,9am,0.9823281168937684,1805935,2050,2745,133270
cgnet,rois,binary,1,7,10am,0.9823516607284546,1805783,2202,2592,133423
cgnet,rois,binary,1,7,11am,0.9828353524208068,1805837,2148,2515,133500
cgnet,rois,binary,1,7,12pm,0.982644021511078,1805957,2028,2682,133333
cgnet,rois,binary,1,7,1pm,0.983629047870636,1806174,1811,2629,133386
cgnet,rois,binary,1,7,2pm,0.9847414493560792,1806102,1883,2262,133753
cgnet,rois,binary,1,7,3pm,0.983145833015442,1805748,2237,2346,133669
cgnet,rois,binary,1,7,4pm,0.9848693013191224,1805927,2058,2058,133957
cgnet,rois,binary,1,7,5pm,0.9808359146118164,1805038,2947,2279,133736
cgnet,rois,binary,1,7,6pm,0.983571469783783,1805721,2264,2206,133809
cgnet,rois,binary,1,7,7pm,0.9831449389457704,1805695,2290,2295,133720
cgnet,rois,binary,1,7,8pm,0.9821410775184632,1805646,2339,2516,133499
cgnet,rois,binary,1,8,8am,0.9826881289482116,1788658,2332,2955,150055
cgnet,rois,binary,1,8,9am,0.9839944243431092,1789018,1972,2911,150099
cgnet,rois,binary,1,8,10am,0.983931601047516,1788824,2166,2742,150268
cgnet,rois,binary,1,8,11am,0.9832590222358704,1788704,2286,2828,150182
cgnet,rois,binary,1,8,12pm,0.983005166053772,1788472,2518,2680,150330
cgnet,rois,binary,1,8,1pm,0.981683909893036,1788301,2689,2912,150098
cgnet,rois,binary,1,8,2pm,0.9827703833580016,1788578,2412,2853,150157
cgnet,rois,binary,1,8,3pm,0.9786366820335388,1787927,3063,3466,149544
cgnet,rois,binary,1,8,5pm,0.9837018847465516,1789168,1822,3144,149866
cgnet,rois,binary,1,8,6pm,0.9833943843841552,1788928,2062,3004,150006
cgnet,rois,binary,1,8,7pm,0.9828695058822632,1788674,2316,2916,150094
cgnet,rois,binary,1,8,8pm,0.9842844605445862,1789111,1879,2914,150096
cgnet,rois,binary,1,9,8am,0.9810584783554076,1766829,3426,3161,170584
cgnet,rois,binary,1,9,9am,0.9814085960388184,1767116,3139,3318,170427
cgnet,rois,binary,1,9,10am,0.9830507636070251,1767871,2384,3487,170258
cgnet,rois,binary,1,9,11am,0.984083354473114,1767677,2578,2947,170798
cgnet,rois,binary,1,9,12pm,0.9813119173049928,1767142,3113,3376,170369
cgnet,rois,binary,1,9,1pm,0.9835849404335022,1767684,2571,3124,170621
cgnet,rois,binary,1,9,2pm,0.983240008354187,1767462,2793,3027,170718
cgnet,rois,binary,1,9,3pm,0.9835566878318788,1767302,2953,2764,170981
cgnet,rois,binary,1,9,4pm,0.9847185015678406,1767406,2849,2467,171278
cgnet,rois,binary,1,9,5pm,0.9803426265716552,1766314,3941,2910,170835
cgnet,rois,binary,1,9,6pm,0.9819447994232178,1766808,3447,2838,170907
cgnet,rois,binary,1,9,7pm,0.9837350845336914,1767457,2798,2853,170892
cgnet,rois,binary,1,9,8pm,0.982524871826172,1766940,3315,2767,170978
cgnet,rois,binary,1,10,8am,0.9808932542800904,1741824,3483,4098,194595
cgnet,rois,binary,1,10,9am,0.9816043972969056,1741822,3485,3819,194874
cgnet,rois,binary,1,10,11am,0.9813469648361206,1741859,3448,3955,194738
cgnet,rois,binary,1,10,12pm,0.9823390245437622,1741977,3330,3682,195011
cgnet,rois,binary,1,10,1pm,0.9827160239219666,1742032,3275,3588,195105
cgnet,rois,binary,1,10,2pm,0.98109370470047,1741607,3700,3811,194882
cgnet,rois,binary,1,10,3pm,0.9809776544570924,1741667,3640,3914,194779
cgnet,rois,binary,1,10,4pm,0.9833484888076782,1742001,3306,3311,195382
cgnet,rois,binary,1,10,5pm,0.9823673963546752,1741831,3476,3530,195163
cgnet,rois,binary,1,10,6pm,0.9827303290367126,1741720,3587,3281,195412
cgnet,rois,binary,1,10,7pm,0.9827852845191956,1741942,3365,3474,195219
cgnet,rois,binary,1,10,8pm,0.9829037189483644,1741875,3432,3363,195330
cgnet,rois,binary,1,11,8am,0.9821541905403136,1715943,4042,3955,220060
cgnet,rois,binary,1,11,9am,0.9812142848968506,1715738,4247,4171,219844
cgnet,rois,binary,1,11,10am,0.9816418290138244,1715651,4334,3899,220116
cgnet,rois,binary,1,11,11am,0.9828170537948608,1715824,4161,3548,220467
cgnet,rois,binary,1,11,12pm,0.9835895895957948,1716041,3944,3417,220598
cgnet,rois,binary,1,11,1pm,0.9839404225349426,1716203,3782,3419,220596
cgnet,rois,binary,1,11,2pm,0.983076274394989,1716054,3931,3656,220359
cgnet,rois,binary,1,11,3pm,0.9831456542015076,1715915,4070,3491,220524
cgnet,rois,binary,1,11,4pm,0.982011079788208,1715858,4127,3936,220079
cgnet,rois,binary,1,11,5pm,0.9822137951850892,1716022,3963,4005,220010
cgnet,rois,binary,1,11,6pm,0.9822521805763244,1715939,4046,3908,220107
cgnet,rois,binary,1,11,7pm,0.9833062887191772,1716071,3914,3571,220444
cgnet,rois,binary,1,11,8pm,0.9845791459083556,1716267,3718,3199,220816
cgnet,rois,binary,1,12,8am,0.9856142401695251,1699954,3771,3151,237124
cgnet,rois,binary,1,12,9am,0.9872674345970154,1700412,3313,2812,237463
cgnet,rois,binary,1,12,10am,0.9896835684776306,1701861,1864,3081,237194
cgnet,rois,binary,1,12,11am,0.9889148473739624,1701653,2072,3242,237033
cgnet,rois,binary,1,12,12pm,0.9878202676773072,1701213,2512,3331,236944
cgnet,rois,binary,1,12,1pm,0.987848937511444,1701147,2578,3253,237022
cgnet,rois,binary,1,12,2pm,0.9861441254615784,1700192,3533,3131,237144
cgnet,rois,binary,1,12,3pm,0.9849838018417358,1699408,4317,2920,237355
cgnet,rois,binary,1,12,4pm,0.9883534908294678,1700568,3157,2448,237827
cgnet,rois,binary,1,12,5pm,0.9821173548698424,1698190,5535,3102,237173
cgnet,rois,binary,1,12,6pm,0.9857977032661438,1699810,3915,2924,237351
cgnet,rois,binary,1,12,7pm,0.9871428608894348,1700813,2912,3262,237013
cgnet,rois,binary,1,12,8pm,0.9867830276489258,1700220,3505,2855,237420
cgnet,rois,binary,1,13,8am,0.987667679786682,1672741,3428,3181,264650
cgnet,rois,binary,1,13,9am,0.9885175228118896,1673170,2999,3150,264681
cgnet,rois,binary,1,13,10am,0.9893803000450134,1673828,2341,3337,264494
cgnet,rois,binary,1,13,11am,0.9882147908210754,1673394,2775,3529,264302
cgnet,rois,binary,1,13,12pm,0.98794025182724,1673483,2686,3761,264070
cgnet,rois,binary,1,13,1pm,0.986977517604828,1672668,3501,3475,264356
cgnet,rois,binary,1,13,2pm,0.9873115420341492,1672520,3649,3154,264677
cgnet,rois,binary,1,13,3pm,0.9858831763267516,1671988,4181,3392,264439
cgnet,rois,binary,1,13,4pm,0.9881519079208374,1672252,3917,2447,265384
cgnet,rois,binary,1,13,5pm,0.9859264492988586,1671415,4754,2812,265019
cgnet,rois,binary,1,13,6pm,0.9866358041763306,1671934,4235,2941,264890
cgnet,rois,binary,1,13,7pm,0.9860926270484924,1671812,4357,3110,264721
cgnet,rois,binary,1,13,8pm,0.9860941767692566,1671818,4351,3115,264716
cgnet,rois,binary,1,14,9am,0.9889519214630128,1660033,2943,3263,277761
cgnet,rois,binary,1,14,10am,0.9893383979797364,1660517,2459,3522,277502
cgnet,rois,binary,1,14,11am,0.9884592294692992,1660279,2697,3777,277247
cgnet,rois,binary,1,14,12pm,0.9864927530288696,1658982,3994,3603,277421
cgnet,rois,binary,1,14,1pm,0.9864182472229004,1658995,3981,3657,277367
cgnet,rois,binary,1,14,2pm,0.987463653087616,1659091,3885,3170,277854
