CNN Model,Input Type,Target Type,Trial,Day,Hour,Class 0 F1 Score,Class 1 F1 Score,Class 2 F1 Score,Class 3 F1 Score,Class 4 F1 Score,Class 5 F1 Score,Class 6 F1 Score
cgnet,rois,multiclass,1,1,8am,0.7609321475028992,0.5375697612762451,0.5833333134651184,0.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,1,9am,0.7922714948654175,0.5667138695716858,0.5948885083198547,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,1,10am,0.7914819717407227,0.5683854818344116,0.6059474349021912,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,1,11am,0.7891575694084167,0.5663695335388184,0.6089864373207092,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,1,12pm,0.797359049320221,0.5745933651924133,0.6272408962249756,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,1,1pm,0.7882399559020996,0.5653579235076904,0.6014246940612793,1.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,1,2pm,0.7807730436325073,0.5584412217140198,0.5437511801719666,1.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,1,3pm,0.7896225452423096,0.5636985898017883,0.5030199289321899,1.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,1,4pm,0.7986436486244202,0.5751234889030457,0.5772967338562012,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,1,5pm,0.7792485952377319,0.5539812445640564,0.4962674081325531,0.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,1,6pm,0.7726465463638306,0.550132691860199,0.5518330931663513,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,1,7pm,0.7798470258712769,0.5546581745147705,0.5402019023895264,1.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,1,8pm,0.7592189908027649,0.5386605858802795,0.5675798058509827,1.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,2,8am,0.7728695869445801,0.551727831363678,0.8329548835754395,0.8439279198646545,0.0,1.0,1.0
cgnet,rois,multiclass,1,2,9am,0.7955576181411743,0.5740326642990112,0.8300513625144958,0.8119300603866577,0.0,1.0,1.0
cgnet,rois,multiclass,1,2,10am,0.7915993332862854,0.5738954544067383,0.8548144102096558,0.834538996219635,0.0,1.0,1.0
cgnet,rois,multiclass,1,2,11am,0.7878164649009705,0.5695616602897644,0.8412587642669678,0.828538715839386,0.0,0.0,1.0
cgnet,rois,multiclass,1,2,12pm,0.7905383706092834,0.5722697973251343,0.8433891534805298,0.8521165251731873,0.0,1.0,1.0
cgnet,rois,multiclass,1,2,1pm,0.8005179762840271,0.5827357769012451,0.8484838604927063,0.8641248345375061,0.0,1.0,1.0
cgnet,rois,multiclass,1,2,2pm,0.8016031980514526,0.5806350708007812,0.8048108816146851,0.8641248345375061,0.0,0.0,1.0
cgnet,rois,multiclass,1,2,3pm,0.7701861262321472,0.551420271396637,0.8070382475852966,0.8287655711174011,0.0,1.0,1.0
cgnet,rois,multiclass,1,2,4pm,0.7993501424789429,0.5804262161254883,0.8286352157592773,0.8262060284614563,0.0,1.0,1.0
cgnet,rois,multiclass,1,2,5pm,0.765731692314148,0.5433181524276733,0.8125253915786743,0.8434653878211975,0.0,0.0,1.0
cgnet,rois,multiclass,1,2,6pm,0.7579097151756287,0.541041910648346,0.8194833397865295,0.8319520950317383,0.0,1.0,1.0
cgnet,rois,multiclass,1,2,7pm,0.7574798464775085,0.5402089953422546,0.8165922164916992,0.8095983266830444,0.0,1.0,1.0
cgnet,rois,multiclass,1,2,8pm,0.7537711262702942,0.5377280712127686,0.8232816457748413,0.8475900292396545,0.0,1.0,1.0
cgnet,rois,multiclass,1,3,8am,0.7490535974502563,0.5388292074203491,0.8223283886909485,0.7555435299873352,0.0,0.0,1.0
cgnet,rois,multiclass,1,3,9am,0.788530707359314,0.5733224749565125,0.8302314281463623,0.8087900280952454,0.0,0.0,1.0
cgnet,rois,multiclass,1,3,10am,0.7669180035591125,0.5560013055801392,0.8440399169921875,0.8043445348739624,0.0,0.0,1.0
cgnet,rois,multiclass,1,3,11am,0.7385329604148865,0.5318998694419861,0.8294153809547424,0.7730662822723389,0.0,0.0,1.0
cgnet,rois,multiclass,1,3,12pm,0.7230077385902405,0.5215402841567993,0.8256009817123413,0.7736397981643677,0.0,0.0,1.0
cgnet,rois,multiclass,1,3,1pm,0.724664032459259,0.5228538513183594,0.8282365798950195,0.7833239436149597,0.0,0.0,1.0
cgnet,rois,multiclass,1,3,2pm,0.719460129737854,0.5183919668197632,0.8192581534385681,0.774176299571991,0.0,0.0,1.0
cgnet,rois,multiclass,1,3,3pm,0.7136037349700928,0.5141911506652832,0.791553258895874,0.7071893811225891,0.0,0.0,0.0
cgnet,rois,multiclass,1,3,4pm,0.720840334892273,0.5194392204284668,0.8190649747848511,0.765562117099762,0.0,0.0,1.0
cgnet,rois,multiclass,1,3,5pm,0.7152255177497864,0.5113924145698547,0.7951925992965698,0.7623159885406494,0.0,0.0,0.0
cgnet,rois,multiclass,1,3,6pm,0.7168938517570496,0.5164563655853271,0.8008226156234741,0.7303022146224976,0.0,0.0,1.0
cgnet,rois,multiclass,1,3,7pm,0.7154998183250427,0.515302300453186,0.8072577714920044,0.7684223055839539,0.0,0.0,1.0
cgnet,rois,multiclass,1,3,8pm,0.7165664434432983,0.5159835815429688,0.8039029836654663,0.712906002998352,0.0,0.0,1.0
cgnet,rois,multiclass,1,4,8am,0.7745718955993652,0.5626631379127502,0.842828094959259,0.8347511887550354,0.8454253077507019,0.0,1.0
cgnet,rois,multiclass,1,4,9am,0.7721462845802307,0.56113600730896,0.8432906270027161,0.832489550113678,0.8524255752563477,0.0,1.0
cgnet,rois,multiclass,1,4,10am,0.7836529016494751,0.5727495551109314,0.8531803488731384,0.8413090109825134,0.8839022517204285,0.0,1.0
cgnet,rois,multiclass,1,4,11am,0.7791597843170166,0.567782461643219,0.8430017232894897,0.8370304703712463,0.8831366300582886,0.0,1.0
cgnet,rois,multiclass,1,4,12pm,0.7826526165008545,0.571679413318634,0.8480023145675659,0.8336167335510254,0.8495510220527649,0.0,1.0
cgnet,rois,multiclass,1,4,1pm,0.7657610774040222,0.5570681095123291,0.8488063812255859,0.8319856524467468,0.8473837375640869,0.0,1.0
cgnet,rois,multiclass,1,4,2pm,0.751028299331665,0.5437944531440735,0.8389054536819458,0.8235811591148376,0.8238747715950012,0.0,1.0
cgnet,rois,multiclass,1,4,3pm,0.7518894076347351,0.5440472960472107,0.8224906921386719,0.8108686208724976,0.8121551871299744,0.0,1.0
cgnet,rois,multiclass,1,4,4pm,0.7553452253341675,0.5490170121192932,0.838041365146637,0.8254299759864807,0.8483737707138062,0.0,1.0
cgnet,rois,multiclass,1,4,5pm,0.7469310760498047,0.5390596985816956,0.8262300491333008,0.8165152072906494,0.81368488073349,0.0,0.0
cgnet,rois,multiclass,1,4,6pm,0.7484036087989807,0.5424209237098694,0.8207175731658936,0.7891481518745422,0.7896312475204468,0.0,1.0
cgnet,rois,multiclass,1,4,7pm,0.7388518452644348,0.5346454977989197,0.8233188986778259,0.7696831822395325,0.7652088403701782,0.0,1.0
cgnet,rois,multiclass,1,4,8pm,0.742929995059967,0.5388972163200378,0.8253968358039856,0.7846854329109192,0.7725293040275574,0.0,1.0
cgnet,rois,multiclass,1,5,8am,0.776838481426239,0.5691592693328857,0.8584832549095154,0.8379689455032349,0.8488208055496216,0.0,1.0
cgnet,rois,multiclass,1,5,9am,0.7787715196609497,0.570780336856842,0.8587185740470886,0.8383259773254395,0.8623793721199036,0.0,1.0
cgnet,rois,multiclass,1,5,10am,0.7857047915458679,0.5771551132202148,0.8498938083648682,0.8210448026657104,0.8525947332382202,0.0,1.0
cgnet,rois,multiclass,1,5,11am,0.7798806428909302,0.5733834505081177,0.8557708859443665,0.8420475721359253,0.8688105940818787,0.0,1.0
cgnet,rois,multiclass,1,5,12pm,0.7783607244491577,0.5714066624641418,0.844495952129364,0.8340288400650024,0.8612479567527771,0.0,1.0
cgnet,rois,multiclass,1,5,1pm,0.7884761095046997,0.5806292295455933,0.859248697757721,0.8457742929458618,0.8650943636894226,0.0,1.0
cgnet,rois,multiclass,1,5,2pm,0.7748625874519348,0.5674799084663391,0.8490555286407471,0.8344895839691162,0.8531634211540222,0.0,1.0
cgnet,rois,multiclass,1,5,3pm,0.7632105350494385,0.5565226674079895,0.8289007544517517,0.821447491645813,0.8425658345222473,0.0,1.0
cgnet,rois,multiclass,1,5,4pm,0.7716564536094666,0.5657230019569397,0.8505675196647644,0.8292698264122009,0.8450196385383606,0.0,1.0
cgnet,rois,multiclass,1,5,5pm,0.7611411809921265,0.55354905128479,0.8283043503761292,0.8164257407188416,0.8259844183921814,0.0,1.0
cgnet,rois,multiclass,1,5,6pm,0.7615516185760498,0.5563400387763977,0.8362326622009277,0.813026487827301,0.8309397101402283,0.0,1.0
cgnet,rois,multiclass,1,5,7pm,0.7620824575424194,0.5583158135414124,0.8434650897979736,0.8141012787818909,0.8220436573028564,0.0,1.0
cgnet,rois,multiclass,1,5,8pm,0.75396329164505,0.5512097477912903,0.8453465104103088,0.8286675810813904,0.8496708273887634,0.0,1.0
cgnet,rois,multiclass,1,6,8am,0.7631577849388123,0.5582376718521118,0.8521579504013062,0.843844473361969,0.8576720356941223,0.6740436553955078,1.0
cgnet,rois,multiclass,1,6,9am,0.7869737148284912,0.5776903033256531,0.8440173864364624,0.8330683708190918,0.8584206700325012,0.6830670833587646,1.0
cgnet,rois,multiclass,1,6,10am,0.7833074927330017,0.5775354504585266,0.8553515076637268,0.8384295105934143,0.8596000671386719,0.6587010025978088,1.0
cgnet,rois,multiclass,1,6,11am,0.781569242477417,0.5757887363433838,0.8542847037315369,0.8480643630027771,0.8662363290786743,0.6621413230895996,1.0
cgnet,rois,multiclass,1,6,12pm,0.7818700671195984,0.5773839354515076,0.860202431678772,0.8469226360321045,0.8668763041496277,0.7147606611251831,1.0
cgnet,rois,multiclass,1,6,1pm,0.7871350646018982,0.5821810364723206,0.8563157320022583,0.8443711400032043,0.8462303876876831,0.6307103037834167,1.0
cgnet,rois,multiclass,1,6,2pm,0.7924944758415222,0.5850292444229126,0.8454287052154541,0.843655526638031,0.8507547974586487,0.6448709964752197,1.0
cgnet,rois,multiclass,1,6,3pm,0.7818739414215088,0.5742635130882263,0.8423231244087219,0.8393592834472656,0.8471177816390991,0.6576852202415466,1.0
cgnet,rois,multiclass,1,6,4pm,0.7967589497566223,0.5909811854362488,0.8439006805419922,0.8418922424316406,0.8490417003631592,0.6645748615264893,1.0
cgnet,rois,multiclass,1,6,5pm,0.7892389893531799,0.581922709941864,0.8383466005325317,0.8412327766418457,0.8522334694862366,0.6555452346801758,1.0
cgnet,rois,multiclass,1,6,6pm,0.7762019634246826,0.5699654817581177,0.8437358140945435,0.8408638834953308,0.8474397659301758,0.6834716200828552,1.0
cgnet,rois,multiclass,1,6,7pm,0.7789144515991211,0.5723517537117004,0.8477540016174316,0.8393444418907166,0.8428907990455627,0.657837986946106,1.0
cgnet,rois,multiclass,1,6,8pm,0.772903561592102,0.5662918090820312,0.8460829257965088,0.836301863193512,0.845948338508606,0.6677086353302002,1.0
cgnet,rois,multiclass,1,7,8am,0.776506245136261,0.5707228779792786,0.8563912510871887,0.8454469442367554,0.8541194796562195,0.6925117373466492,0.0
