Scenario,CNN Model,Input Type,Target Type,Trial,Day,Hour,F1 Score,Jaccard Index,TP,FP,FN,TN
SMS,cgnet,rois,binary,1,1,8am,0.9473491311073304,0.8999651670455933,2582,41,246,1941131
SMS,cgnet,rois,binary,1,1,9am,0.949427843093872,0.9037245512008668,2572,18,256,1941154
SMS,cgnet,rois,binary,1,1,10am,0.9477598071098328,0.9007067084312439,2549,2,279,1941170
SMS,cgnet,rois,binary,1,1,11am,0.94636869430542,0.8981972336769104,2541,1,287,1941171
SMS,cgnet,rois,binary,1,1,12pm,0.941242516040802,0.8890067338943481,2515,1,313,1941171
SMS,cgnet,rois,binary,1,1,1pm,0.9485799074172974,0.9021892547607422,2555,4,273,1941168
SMS,cgnet,rois,binary,1,1,2pm,0.9498525261878968,0.9044944047927856,2576,20,252,1941152
SMS,cgnet,rois,binary,1,1,3pm,0.9571585655212402,0.9178370833396912,2614,20,214,1941152
SMS,cgnet,rois,binary,1,1,4pm,0.9547204375267028,0.913363754749298,2604,23,224,1941149
SMS,cgnet,rois,binary,1,1,5pm,0.9574936032295228,0.9184534549713136,2613,17,215,1941155
SMS,cgnet,rois,binary,1,1,6pm,0.9530819058418274,0.9103690981864928,2590,17,238,1941155
SMS,cgnet,rois,binary,1,1,7pm,0.9557263255119324,0.9152067303657532,2612,26,216,1941146
SMS,cgnet,rois,binary,1,1,8pm,0.9507416486740112,0.9061082005500792,2596,37,232,1941135
SMS,cgnet,rois,binary,1,2,8am,0.9730299115180968,0.9474763870239258,21250,372,806,1921572
SMS,cgnet,rois,binary,1,2,9am,0.9765843152999878,0.9542401432991028,21312,278,744,1921666
SMS,cgnet,rois,binary,1,2,10am,0.9786630272865297,0.9582175016403198,21374,250,682,1921694
SMS,cgnet,rois,binary,1,2,11am,0.9781870245933532,0.9573053121566772,21301,195,755,1921749
SMS,cgnet,rois,binary,1,2,12pm,0.9794766902923584,0.959778904914856,21357,196,699,1921748
SMS,cgnet,rois,binary,1,2,1pm,0.9784891605377196,0.9578843116760254,21243,121,813,1921823
SMS,cgnet,rois,binary,1,2,2pm,0.978846549987793,0.9585695266723632,21309,174,747,1921770
SMS,cgnet,rois,binary,1,2,3pm,0.9757750630378724,0.9526960849761964,21308,310,748,1921634
SMS,cgnet,rois,binary,1,2,4pm,0.972276210784912,0.946048140525818,21270,427,786,1921517
SMS,cgnet,rois,binary,1,2,5pm,0.9734922051429749,0.9483534693717957,21282,385,774,1921559
SMS,cgnet,rois,binary,1,2,6pm,0.973115086555481,0.9476379156112672,21283,403,773,1921541
SMS,cgnet,rois,binary,1,2,7pm,0.9636284112930298,0.9298096895217896,20864,383,1192,1921561
SMS,cgnet,rois,binary,1,2,8pm,0.9697220325469972,0.941223680973053,21106,368,950,1921576
SMS,cgnet,rois,binary,1,3,8am,0.9804322719573976,0.9616156220436096,36426,553,901,1906120
SMS,cgnet,rois,binary,1,3,9am,0.9829955101013184,0.9665597081184388,36448,382,879,1906291
SMS,cgnet,rois,binary,1,3,10am,0.9847243428230286,0.9699084162712096,36422,225,905,1906448
SMS,cgnet,rois,binary,1,3,11am,0.9842813014984132,0.9690491557121276,36444,281,883,1906392
SMS,cgnet,rois,binary,1,3,12pm,0.9836030006408693,0.9677350521087646,36352,237,975,1906436
SMS,cgnet,rois,binary,1,3,1pm,0.983890175819397,0.9682911038398744,36400,265,927,1906408
SMS,cgnet,rois,binary,1,3,2pm,0.9838417768478394,0.9681974053382874,36411,280,916,1906393
SMS,cgnet,rois,binary,1,3,3pm,0.9849770665168762,0.9703988432884216,36618,408,709,1906265
SMS,cgnet,rois,binary,1,3,4pm,0.9778136014938354,0.9565903544425964,36382,706,945,1905967
SMS,cgnet,rois,binary,1,3,5pm,0.9825785160064696,0.9657536149024964,36491,458,836,1906215
SMS,cgnet,rois,binary,1,3,6pm,0.9802884459495544,0.9613389372825624,36503,644,824,1906029
SMS,cgnet,rois,binary,1,3,7pm,0.980854332447052,0.9624280333518982,36451,547,876,1906126
SMS,cgnet,rois,binary,1,3,8pm,0.9797399640083312,0.9602845311164856,36583,769,744,1905904
SMS,cgnet,rois,binary,1,4,8am,0.9831333160400392,0.9668261408805848,48904,722,956,1893418
SMS,cgnet,rois,binary,1,4,9am,0.9827857613563538,0.9661542177200316,48956,811,904,1893329
SMS,cgnet,rois,binary,1,4,10am,0.98636656999588,0.9730998873710632,48908,400,952,1893740
SMS,cgnet,rois,binary,1,4,11am,0.9865995645523072,0.973553478717804,48997,468,863,1893672
SMS,cgnet,rois,binary,1,4,12pm,0.9861629605293274,0.9727035760879515,48891,403,969,1893737
SMS,cgnet,rois,binary,1,4,1pm,0.9867610931396484,0.973868191242218,48895,347,965,1893793
SMS,cgnet,rois,binary,1,4,2pm,0.9860958456993104,0.9725730419158936,48900,419,960,1893721
SMS,cgnet,rois,binary,1,4,3pm,0.9863814115524292,0.973128855228424,49107,603,753,1893537
SMS,cgnet,rois,binary,1,4,4pm,0.9826396107673644,0.9658716320991516,48961,831,899,1893309
SMS,cgnet,rois,binary,1,4,5pm,0.9848691821098328,0.9701894521713256,49013,659,847,1893481
SMS,cgnet,rois,binary,1,4,6pm,0.9843740463256836,0.9692289233207704,49074,772,786,1893368
SMS,cgnet,rois,binary,1,4,7pm,0.9795631766319276,0.9599449038505554,48794,970,1066,1893170
SMS,cgnet,rois,binary,1,4,8pm,0.9820501804351808,0.9647334218025208,49021,953,839,1893187
SMS,cgnet,rois,binary,1,5,8am,0.9862858057022096,0.9729426503181458,58109,865,751,1884275
SMS,cgnet,rois,binary,1,5,9am,0.9857425093650818,0.971885859966278,58111,932,749,1884208
SMS,cgnet,rois,binary,1,5,10am,0.987967610359192,0.9762213230133056,58010,563,850,1884577
SMS,cgnet,rois,binary,1,5,11am,0.9865849018096924,0.973525047302246,58099,819,761,1884321
SMS,cgnet,rois,binary,1,5,12pm,0.9865188598632812,0.9733963012695312,58103,831,757,1884309
SMS,cgnet,rois,binary,1,5,1pm,0.9863662123680116,0.9730992317199708,57697,432,1163,1884708
