day,background_percentage,fouling_percentage
1,99.894753086,0.105246914
2,99.550360082,0.449639918
3,98.518467078,1.481532922
4,97.856121399,2.143878601
5,96.95149177,3.04850823
6,96.329115226,3.670884774
7,95.593569959,4.406430041
8,94.812037037,5.187962963
9,93.983127572,6.016872428
10,93.114403292,6.885596708
11,92.223971193,7.776028807
12,91.183230453,8.816769547
13,90.687345679,9.312654321
14,90.019855967,9.980144033
15,89.378909465,10.621090535
16,88.83276749,11.16723251
17,88.149639918,11.850360082
18,87.553600823,12.446399177
19,86.99537037,13.00462963
20,86.345884774,13.654115226
21,86.04218107,13.95781893
22,85.467849794,14.532150206
23,84.980092593,15.019907407
24,84.477109053,15.522890947
25,83.78909465,16.21090535
26,82.763117284,17.236882716
27,82.042952675,17.957047325
28,81.382716049,18.617283951
29,80.769804527,19.230195473
30,80.410339506,19.589660494
31,79.630915638,20.369084362
32,79.069135802,20.930864198
33,78.51558642,21.48441358
34,77.934259259,22.065740741
35,77.483024691,22.516975309
36,76.781532922,23.218467078
37,76.195679012,23.804320988
38,75.502469136,24.497530864
39,75.009156379,24.990843621
40,74.369238683,25.630761317
41,73.84377572,26.15622428
42,73.15936214,26.84063786
43,72.91877572,27.08122428
44,71.932253086,28.067746914
45,71.265020576,28.734979424
46,70.745936214,29.254063786
47,70.126131687,29.873868313
48,69.316718107,30.683281893
49,68.685442387,31.314557613
50,68.186213992,31.813786008
51,67.794393004,32.205606996
52,66.989969136,33.010030864
53,66.299537037,33.700462963
54,65.997582305,34.002417695
55,65.313168724,34.686831276
56,64.634516461,35.365483539
57,64.356584362,35.643415638
58,63.942489712,36.057510288
59,63.46100823,36.53899177
60,63.065534979,36.934465021
